,num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,collector,event,label_str,label
2001-07-05 19:15:00+00:00,2169,209,4.547256800368833,15.0,1.7227635729386788,58,87,2378,rrc00,codered,normal,0
2001-07-05 19:18:00+00:00,2623,420,4.574151734654976,13.0,1.6700048839660033,79,139,3043,rrc00,codered,normal,0
2001-07-05 19:21:00+00:00,4021,1076,5.14921661278289,14.0,1.6952960970242021,154,203,5097,rrc00,codered,normal,0
2001-07-05 19:24:00+00:00,3093,906,4.832525056579373,13.0,1.994273079232532,166,212,3999,rrc00,codered,normal,0
2001-07-05 19:27:00+00:00,2554,458,4.533672670321065,14.0,1.746638358713268,68,191,3012,rrc00,codered,normal,0
2001-07-05 19:30:00+00:00,4578,543,4.737876802096985,15.0,1.5764660226879195,74,123,5121,rrc00,codered,normal,0
2001-07-05 19:33:00+00:00,4008,539,5.294411177644711,16.0,1.737415171925104,79,147,4547,rrc00,codered,normal,0
2001-07-05 19:36:00+00:00,2326,317,4.871453138435082,13.0,1.420063289312973,57,74,2643,rrc00,codered,normal,0
2001-07-05 19:39:00+00:00,2658,493,5.170805116629045,16.0,1.837906036592123,119,158,3151,rrc00,codered,normal,0
2001-07-05 19:42:00+00:00,2889,462,5.390446521287643,15.0,2.0346238286017386,81,152,3351,rrc00,codered,normal,0
2001-07-05 19:45:00+00:00,3174,1042,5.595148078134845,15.0,1.896566499382366,99,141,4216,rrc00,codered,normal,0
2001-07-05 19:48:00+00:00,3467,717,5.186905105278338,14.0,1.7352024252308869,79,169,4184,rrc00,codered,normal,0
2001-07-05 19:51:00+00:00,3267,722,5.733088460361188,16.0,2.2785281617414963,135,161,3989,rrc00,codered,normal,0
2001-07-05 19:54:00+00:00,3199,545,5.381056580181307,15.0,2.1070515310880547,77,205,3744,rrc00,codered,normal,0
2001-07-05 19:57:00+00:00,2429,470,5.025113215314945,13.0,1.7540716726043708,56,106,2899,rrc00,codered,normal,0
2001-07-05 20:00:00+00:00,2428,319,5.191927512355848,16.0,1.7352059754630311,57,84,2747,rrc00,codered,normal,0
2001-07-05 20:03:00+00:00,2331,612,5.145002145002145,15.0,1.989999587705675,101,125,2943,rrc00,codered,normal,0
2001-07-05 20:06:00+00:00,2859,581,5.0849947534102835,15.0,1.9313458088624982,87,164,3440,rrc00,codered,normal,0
2001-07-05 20:09:00+00:00,3148,585,4.886594663278272,13.0,1.7056705536929397,109,146,3733,rrc00,codered,normal,0
2001-07-05 20:12:00+00:00,2205,363,5.04671201814059,13.0,1.7151041250305574,48,130,2568,rrc00,codered,normal,0
2001-07-05 20:15:00+00:00,2627,303,4.844689760182718,15.0,1.5042932371010234,59,135,2930,rrc00,codered,normal,0
2001-07-05 20:18:00+00:00,1470,267,4.776190476190476,15.0,1.8588575722531575,43,63,1737,rrc00,codered,normal,0
2001-07-05 20:21:00+00:00,1864,481,4.948497854077253,15.0,1.9896534671955546,85,102,2345,rrc00,codered,normal,0
2001-07-05 20:24:00+00:00,2084,407,4.964491362763916,15.0,1.937281021102479,87,102,2491,rrc00,codered,normal,0
2001-07-05 20:27:00+00:00,1993,276,4.938283993978926,13.0,2.198550009240331,61,113,2269,rrc00,codered,normal,0
2001-07-05 20:30:00+00:00,1964,345,4.7836048879837065,14.0,2.0029296360537026,76,99,2309,rrc00,codered,normal,0
2001-07-05 20:33:00+00:00,1678,399,5.047675804529201,13.0,1.877059605499234,81,110,2077,rrc00,codered,normal,0
2001-07-05 20:36:00+00:00,2189,327,5.073549566011877,14.0,1.9206695335814534,75,109,2516,rrc00,codered,normal,0
2001-07-05 20:39:00+00:00,2412,310,4.698590381426202,14.0,1.729400821201328,66,88,2722,rrc00,codered,normal,0
2001-07-05 20:42:00+00:00,2019,423,4.919266963843487,15.0,1.8577229287472627,61,140,2442,rrc00,codered,normal,0
2001-07-05 20:45:00+00:00,2213,245,5.973339358337099,15.0,2.1438788347911952,44,58,2458,rrc00,codered,normal,0
2001-07-05 20:48:00+00:00,2589,262,4.888373889532638,15.0,1.5896949980967132,57,81,2851,rrc00,codered,normal,0
2001-07-05 20:51:00+00:00,2711,664,5.0018443378827,15.0,1.8687070250636304,143,180,3375,rrc00,codered,normal,0
2001-07-05 20:54:00+00:00,2436,348,5.181034482758621,15.0,1.678997544902789,64,150,2784,rrc00,codered,normal,0
2001-07-05 20:57:00+00:00,1973,378,4.670045615813482,15.0,1.7712863961423444,88,119,2351,rrc00,codered,normal,0
2001-07-05 21:00:00+00:00,2094,365,4.995702005730659,15.0,2.007502798785259,61,84,2459,rrc00,codered,normal,0
2001-07-05 21:03:00+00:00,3417,426,5.151594966344747,13.0,1.687069192556184,58,186,3843,rrc00,codered,normal,0
2001-07-05 21:06:00+00:00,4689,929,5.249093623373854,16.0,1.577665793345167,139,175,5618,rrc00,codered,normal,0
2001-07-05 21:09:00+00:00,2766,441,4.954446854663774,13.0,1.7006931834689558,100,129,3207,rrc00,codered,normal,0
2001-07-05 21:12:00+00:00,3175,374,5.097007874015748,15.0,2.0297101592706928,89,114,3549,rrc00,codered,normal,0
