num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,ann_wit_ratio,ann_diff,wit_diff,ann_roll_std,wit_roll_std
555,125,6.587387387387388,14.0,2.853324822662976,13,102,680,4.404761904761905,83.0,58.0,75.14208856567762,40.91861841916766
1908,327,6.068658280922432,18.0,2.5854379502820155,58,100,2235,5.817073170731708,97.0,151.0,77.86098723535164,78.3857980364475
1808,602,5.248893805309734,17.0,2.191091904071009,74,89,2410,2.998341625207297,750.0,370.0,375.0000002554377,218.3849811685752
25487,463,4.677639580962844,17.0,1.5109166688657043,108,217,25950,54.928879310344826,19847.0,136.0,13030.24761852911,171.12958053238293
103270,354,3.661092282366612,20.0,1.4201361768599747,32,152,103624,290.90140845070425,99804.0,34.0,58183.74587746418,99.04207860179945
5530,193,4.705605786618444,20.0,2.439900622758184,28,87,5723,28.50515463917526,3888.0,26.0,2052.582844450763,314.34747228944576
1804,288,6.074279379157428,15.0,2.648687764796767,41,62,2092,6.242214532871972,4.0,-4.0,1113.7104651510601,49.69238707682511
9598,1313,4.674619712440092,15.0,1.5863962917943022,276,544,10911,7.3044140030441405,1510.0,83.0,24356.833154856355,1319.0323473414699
1936,416,4.801136363636363,16.0,2.0277564521753697,71,89,2352,4.642685851318944,-1114.0,33.0,581.289084708192,132.37950495955283
2804,894,4.711483594864479,17.0,1.620965333395624,126,592,3698,3.1329608938547486,-645.0,164.0,1777.9980315412342,323.489309457635
386,51,5.093264248704664,18.0,2.210808638690462,11,35,437,7.423076923076923,115.0,10.0,345.1709723320665,5.291502622130176
1571,381,5.33991088478676,12.0,1.7359947147389143,68,98,1952,4.112565445026178,-779.0,58.0,565.2495025790047,84.78797084501166
289,70,5.923875432525952,16.0,2.837176126366884,24,44,359,4.070422535211268,-160.0,-23.0,82.51262614537842,13.57694123627753
745,186,7.626845637583893,16.0,3.4165532863871126,30,155,931,3.983957219251337,23.0,104.0,207.29930086866472,67.30032194078598
1159,287,4.369283865401208,13.0,1.297753586268022,37,84,1446,4.024305555555555,-476.0,61.0,429.8573408689501,197.79871924099658
727,110,4.863823933975241,13.0,1.5975904180018303,12,95,837,6.54954954954955,88.0,-155.0,122.49081655613696,118.16513868311577
823,306,5.099635479951397,14.0,2.1030065530433717,48,65,1129,2.6807817589576546,-446.0,100.0,48534.3079892976,53.106810615642274
5190,1029,4.914450867052024,14.0,2.2327918786156844,112,221,6219,5.038834951456311,2384.0,620.0,1213.2952375753894,353.42891788873254
632,143,5.026898734177215,15.0,1.5814103631191607,20,115,775,4.388888888888889,-191.0,-60.0,160.06977689014462,41.63331998932263
478,159,5.646443514644352,15.0,1.9020188316446145,49,106,637,2.9875,58.0,41.0,30.615902306196716,27.02468007827932
213,41,5.291079812206573,17.0,2.3336214292062603,8,31,254,5.071428571428571,-124.0,-20.0,68.63672588654535,10.000000000011822
1372,249,5.729591836734694,25.0,2.788287478672787,44,51,1621,5.488,-968.0,-159.0,635.7578156745938,95.4515583948214
2548,340,5.977629513343799,15.0,2.5219386591614854,53,91,2888,7.472140762463343,-99837.0,68.0,57650.73628613349,51.06858135152624
1469,111,4.893805309734513,17.0,1.859868464924335,29,45,1580,13.116071428571429,-333.0,-57.0,721.2505344711839,44.19275958809537
210,62,6.504761904761905,18.0,3.5419225597831936,14,39,272,3.3333333333333335,-362.0,-4.0,181.18038931970693,32.393414968683096
969,212,5.179566563467493,18.0,1.844511960800548,42,163,1181,4.549295774647887,548.0,122.0,363.22490756268036,74.1440040281963
